# ----------------------------------------
# visit.odessa.ua
# Бесплатный поисковый трафик
# 20120822-20120921
# ----------------------------------------

Ключевое слово	Целевая страница	Посещения	Страниц/посещение	Ср. продолж .посещ.	"Новые посещения, %"	Показатель отказов
достопримечательности одессы	/category/sight/	1 668	"10,52"	00:08:12	"79,62 %"	"26,44 %"
одесса достопримечательности	/category/sight/	1 144	"9,68"	00:07:06	"81,29 %"	"26,14 %"
ибица одесса	/entertainment/ibiza/	271	"1,64"	00:00:26	"82,29 %"	"66,42 %"
гостиницы одессы недорого	/tag/nedorogie-gostinicy/	187	"3,50"	00:02:33	"83,42 %"	"10,70 %"
автобус киев одесса	/travel_to_odessa/from-kiev/by_bus/	145	"1,46"	00:01:19	"79,31 %"	"75,86 %"
карта одессы онлайн	/?map=1	136	"1,82"	00:01:31	"82,35 %"	"60,29 %"
гимн одессы	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	93	"1,30"	00:00:25	"72,04 %"	"87,10 %"
дом павловых м.одеса по спутніка	/?map=1	88	"1,11"	00:00:05	"0,00 %"	"90,91 %"
киев-одесса поезд цена билета	/travel_to_odessa/from-kiev/by_train/	88	"1,06"	00:00:00	"9,09 %"	"94,32 %"
итака одесса	/entertainment/itaka/	86	"1,78"	00:00:22	"82,56 %"	"40,70 %"
дом стена в одессе	/sight/witch_house/	83	"1,98"	00:01:11	"81,93 %"	"67,47 %"
киев одесса автобус	/travel_to_odessa/from-kiev/by_bus/	83	"2,07"	00:01:11	"81,93 %"	"78,31 %"
расписание автобусов киев одесса	/travel_to_odessa/from-kiev/by_bus/	83	"1,53"	00:01:01	"85,54 %"	"84,34 %"
клуб ибица одесса	/entertainment/ibiza/	82	"1,87"	00:00:59	"82,93 %"	"67,07 %"
одесса ибица	/entertainment/ibiza/	76	"1,87"	00:00:42	"86,84 %"	"46,05 %"
расписание автобусов киев-одесса	/travel_to_odessa/from-kiev/by_bus/	75	"1,29"	00:01:03	"80,00 %"	"82,67 %"
одесса	/category/sight/	74	"7,89"	00:05:30	"91,89 %"	"28,38 %"
свеча одесса	/entertainment/svecha/	71	"1,59"	00:00:36	"77,46 %"	"85,92 %"
гимн одессы текст	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	61	"1,38"	00:01:01	"70,49 %"	"83,61 %"
гостиницы в одессе недорого	/tag/nedorogie-gostinicy/	61	"3,66"	00:02:38	"85,25 %"	"14,75 %"
карта одессы с улицами и домами	/tag/sity_centre/?map=1	61	"1,00"	00:00:00	"0,00 %"	"100,00 %"
потемкинская лестница	/sight/potemkinskaya-lestnica/	61	"1,44"	00:01:20	"19,67 %"	"75,41 %"
что посмотреть в одессе	/category/sight/	61	"10,26"	00:07:35	"77,05 %"	"37,70 %"
парк шевченко одесса	/tag/park-shevchenko/?map=1	56	"1,12"	00:00:37	"76,79 %"	"94,64 %"
автобус киев-одесса	/travel_to_odessa/from-kiev/by_bus/	55	"1,40"	00:01:46	"74,55 %"	"80,00 %"
карта одессы	/?map=1	55	"2,55"	00:01:46	"74,55 %"	"56,36 %"
поезд донецк-одесса	/travel_to_odessa/from-doneck/by_train/	55	"1,56"	00:01:07	"80,00 %"	"80,00 %"
путеводитель по одессе	/	53	"6,11"	00:06:18	"88,68 %"	"43,40 %"
как позвонить в одессу из москвы	/odessa/kak-pozvonit/	52	"1,10"	00:00:48	"80,77 %"	"90,38 %"
вестерн одесса	/entertainment/western/	51	"1,08"	00:00:48	"62,75 %"	"88,24 %"
достопримечательности одесса	/category/sight/	47	"11,15"	00:09:04	"80,85 %"	"17,02 %"
одесса мой город родной	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	47	"1,19"	00:00:54	"48,94 %"	"89,36 %"
достопримечательности одессы	/category/sight/page/2/	46	"9,43"	00:08:44	"8,70 %"	"32,61 %"
ибица одесса официальный сайт	/entertainment/ibiza/	45	"1,16"	00:00:20	"84,44 %"	"93,33 %"
ресторан свеча одесса	/entertainment/svecha/	45	"1,09"	00:00:08	"88,89 %"	"88,89 %"
карта одессы с достопримечательностями	/category/sight/	44	"4,64"	00:03:14	"84,09 %"	"31,82 %"
черемушки одесса	/tag/cheremushki/?map=1	44	"1,73"	00:01:18	"81,82 %"	"68,18 %"
дом стена одесса	/sight/witch_house/	43	"1,49"	00:00:18	"81,40 %"	"65,12 %"
расписание поездов киев-одесса	/travel_to_odessa/from-kiev/by_train/	43	"1,49"	00:02:28	"76,74 %"	"76,74 %"
поезд донецк одесса	/travel_to_odessa/from-doneck/by_train/	42	"1,19"	00:00:10	"85,71 %"	"85,71 %"
дом-стена в одессе	/sight/witch_house/	41	"2,76"	00:01:48	"85,37 %"	"65,85 %"
флорида одесса	/entertainment/letnij-nochnoj-klub-florida/	40	"1,85"	00:00:35	"55,00 %"	"62,50 %"
донецк одесса поезд	/travel_to_odessa/from-doneck/by_train/	39	"1,36"	00:00:51	"79,49 %"	"74,36 %"
расписание поездов донецк-одесса	/travel_to_odessa/from-doneck/by_train/	39	"1,74"	00:01:08	"84,62 %"	"71,79 %"
автобусы киев одесса	/travel_to_odessa/from-kiev/by_bus/	37	"2,19"	00:01:54	"78,38 %"	"81,08 %"
итака одесса официальный сайт	/entertainment/itaka/	37	"1,38"	00:01:29	"72,97 %"	"83,78 %"
остров сокровищ одесса	/entertainment/ostrov/	37	"1,19"	00:01:09	"70,27 %"	"83,78 %"
киев-одесса автобус	/travel_to_odessa/from-kiev/by_bus/	35	"2,60"	00:02:07	"88,57 %"	"68,57 %"
одесса достопримечательности карта	/category/sight/	35	"11,31"	00:11:37	"71,43 %"	"11,43 %"
